Buchungs_ID;Personen_FS;Land_FS;Ankunft;Abreise
388;806;198;2017-08-27 00:00:00;1000-01-01 00:00:00
389;807;176;2017-09-06 00:00:00;2017-09-10 00:00:00
390;810;198;2017-09-17 00:00:00;2017-09-19 00:00:00
391;811;198;2017-10-30 00:00:00;2017-11-01 00:00:00
392;816;198;2017-10-06 00:00:00;2017-10-11 00:00:00
393;817;198;2017-10-08 00:00:00;2017-10-18 00:00:00
394;337;186;2017-10-05 00:00:00;2017-10-11 00:00:00
395;822;198;2017-09-18 00:00:00;1000-01-01 00:00:00
396;823;178;2017-09-15 00:00:00;2017-09-20 00:00:00
397;814;198;2017-10-25 00:00:00;2017-10-26 00:00:00
399;830;198;2017-10-28 00:00:00;2017-10-30 00:00:00
401;374;115;2018-08-23 00:00:00;2018-08-25 00:00:00
402;655;198;2018-06-18 00:00:00;2018-06-21 00:00:00
404;846;198;2017-09-29 00:00:00;2017-10-03 00:00:00
405;857;142;2017-11-07 00:00:00;2017-11-09 00:00:00
406;145;123;2018-05-25 00:00:00;2018-05-27 00:00:00
408;870;142;2017-11-22 00:00:00;2017-11-24 00:00:00
409;875;198;2017-12-13 00:00:00;2017-12-14 00:00:00
410;877;186;2017-10-27 00:00:00;2017-10-28 00:00:00
411;881;115;2018-09-26 00:00:00;2018-09-27 00:00:00
413;868;193;2018-09-05 00:00:00;2018-09-07 00:00:00
414;652;115;2018-10-08 00:00:00;2018-10-09 00:00:00
415;920;198;2018-03-17 00:00:00;2018-03-18 00:00:00
416;921;105;2018-04-13 00:00:00;2018-04-16 00:00:00
417;923;198;2018-04-17 00:00:00;2018-04-19 00:00:00
420;172;193;2018-07-21 00:00:00;2018-07-23 00:00:00
423;934;198;2018-03-29 00:00:00;2018-04-04 00:00:00
424;254;115;2018-05-18 00:00:00;2018-05-20 00:00:00
425;933;171;2018-06-25 00:00:00;2018-06-27 00:00:00
426;943;115;2018-06-01 00:00:00;2018-06-06 00:00:00
427;944;115;2018-06-11 00:00:00;2018-06-14 00:00:00
428;165;178;2018-06-16 00:00:00;2018-06-17 00:00:00
430;464;198;2018-04-06 00:00:00;2018-04-08 00:00:00
431;954;198;2018-06-11 00:00:00;2018-06-14 00:00:00
432;955;178;2018-03-31 00:00:00;2018-04-01 00:00:00
433;956;198;2018-06-17 00:00:00;2018-06-19 00:00:00
435;88;115;2018-04-13 00:00:00;2018-04-18 00:00:00
436;230;105;2018-08-07 00:00:00;2018-08-08 00:00:00
437;962;115;2018-07-24 00:00:00;2018-07-26 00:00:00
438;96;186;2018-05-04 00:00:00;2018-05-08 00:00:00
439;96;186;2018-05-09 00:00:00;2018-05-13 00:00:00
440;96;186;2018-05-24 00:00:00;2018-05-30 00:00:00
441;96;186;2018-06-02 00:00:00;2018-06-05 00:00:00
442;965;105;2018-04-30 00:00:00;2018-05-01 00:00:00
443;259;186;2018-05-01 00:00:00;2018-05-02 00:00:00
444;46;198;2018-05-14 00:00:00;2018-05-16 00:00:00
445;464;198;2018-09-21 00:00:00;2018-09-23 00:00:00
447;978;198;2018-08-04 00:00:00;2018-08-07 00:00:00
448;979;198;2018-04-11 00:00:00;2018-04-13 00:00:00
449;932;186;2018-08-12 00:00:00;2018-08-14 00:00:00
450;620;198;2018-05-22 00:00:00;2018-05-27 00:00:00
451;981;123;2018-10-04 00:00:00;2018-10-07 00:00:00
453;984;115;2018-06-25 00:00:00;2018-06-28 00:00:00
454;985;115;2018-07-27 00:00:00;2018-07-28 00:00:00
455;993;198;2018-05-08 00:00:00;2018-05-09 00:00:00
456;994;198;2018-05-15 00:00:00;2018-05-17 00:00:00
457;995;198;2018-06-17 00:00:00;2018-06-18 00:00:00
458;798;115;2018-04-02 00:00:00;2018-04-03 00:00:00
459;1001;115;2018-08-03 00:00:00;2018-08-04 00:00:00
460;1003;198;2018-05-02 00:00:00;2018-05-03 00:00:00
462;997;198;2018-07-01 00:00:00;2018-07-02 00:00:00
463;1007;198;2018-08-27 00:00:00;2018-08-28 00:00:00
464;1013;186;2018-05-01 00:00:00;2018-05-02 00:00:00
465;1015;198;2018-05-08 00:00:00;2018-05-10 00:00:00
466;798;198;2018-04-14 00:00:00;2018-04-15 00:00:00
467;1020;129;2018-06-01 00:00:00;2018-06-03 00:00:00
468;1021;164;1000-01-01 00:00:00;1000-01-01 00:00:00
469;1022;198;2018-09-05 00:00:00;2018-09-06 00:00:00
471;96;186;2018-10-11 00:00:00;2018-10-17 00:00:00
472;96;186;2018-09-06 00:00:00;2018-09-13 00:00:00
473;1035;198;2018-07-28 00:00:00;2018-08-04 00:00:00
474;601;164;2018-07-21 00:00:00;2018-07-22 00:00:00
475;1038;178;2018-07-11 00:00:00;2018-07-12 00:00:00
476;1040;198;2018-06-02 00:00:00;2018-06-06 00:00:00
477;1041;198;2018-06-15 00:00:00;2018-06-16 00:00:00
478;1044;198;2018-05-18 00:00:00;2018-05-20 00:00:00
479;1046;191;2018-06-27 00:00:00;2018-06-30 00:00:00
480;1055;197;2018-07-13 00:00:00;2018-07-14 00:00:00
481;1057;198;2018-07-02 00:00:00;2018-07-03 00:00:00
482;1059;198;2018-10-12 00:00:00;2018-10-13 00:00:00
483;1063;170;2018-06-04 00:00:00;2018-06-05 00:00:00
484;16;115;2018-07-20 00:00:00;2018-07-21 00:00:00
487;1076;198;2018-05-19 00:00:00;2018-05-21 00:00:00
488;678;142;2018-09-17 00:00:00;2018-09-18 00:00:00
489;678;142;2018-09-18 00:00:00;2018-09-19 00:00:00
490;1080;198;2018-06-20 00:00:00;2018-06-21 00:00:00
491;1082;197;2018-05-23 00:00:00;2018-05-28 00:00:00
492;683;198;2018-05-26 00:00:00;2018-05-29 00:00:00
493;1082;133;2018-05-28 00:00:00;2018-05-30 00:00:00
494;1090;191;2018-06-27 00:00:00;2018-07-04 00:00:00
495;1100;198;2018-08-27 00:00:00;2018-08-29 00:00:00
497;1101;198;2018-07-15 00:00:00;2018-07-16 00:00:00
498;1103;115;2018-06-11 00:00:00;2018-06-12 00:00:00
499;1106;115;2018-07-09 00:00:00;2018-07-11 00:00:00
500;1111;115;2018-09-04 00:00:00;2018-09-06 00:00:00
502;1115;198;2018-08-26 00:00:00;2018-08-27 00:00:00
504;1117;198;2018-08-25 00:00:00;2018-08-27 00:00:00
505;683;198;2018-06-16 00:00:00;2018-06-19 00:00:00
506;1123;198;2018-06-30 00:00:00;2018-07-01 00:00:00
508;1126;198;2018-06-20 00:00:00;1000-01-01 00:00:00
509;1129;170;2018-08-09 00:00:00;2018-08-11 00:00:00
510;1131;186;2018-07-06 00:00:00;2018-07-11 00:00:00
511;1137;198;2018-08-25 00:00:00;2018-08-27 00:00:00
512;1141;198;2018-05-30 00:00:00;2018-07-01 00:00:00
513;1142;198;2018-06-29 00:00:00;2018-06-30 00:00:00
514;994;198;2018-07-03 00:00:00;2018-07-05 00:00:00
515;1147;115;2018-08-01 00:00:00;2018-08-07 00:00:00
516;1148;198;2018-08-01 00:00:00;2018-08-06 00:00:00
517;1149;198;2018-08-26 00:00:00;2018-08-27 00:00:00
519;1151;198;2018-08-21 00:00:00;2018-08-23 00:00:00
520;1151;198;2018-10-05 00:00:00;2018-10-10 00:00:00
521;96;186;2018-08-15 00:00:00;2018-08-18 00:00:00
522;96;186;2018-09-19 00:00:00;2018-09-26 00:00:00
523;96;186;2018-10-03 00:00:00;2018-10-11 00:00:00
524;1153;198;2018-08-24 00:00:00;2018-08-27 00:00:00
525;1156;198;2018-09-08 00:00:00;2018-09-13 00:00:00
526;1167;178;2018-07-21 00:00:00;2018-07-22 00:00:00
527;1167;178;2018-07-27 00:00:00;2018-07-28 00:00:00
528;1178;197;2018-07-25 00:00:00;2018-07-26 00:00:00
529;811;198;2018-10-29 00:00:00;2018-10-31 00:00:00
530;1180;198;2018-08-05 00:00:00;2018-08-07 00:00:00
531;1183;198;2018-09-05 00:00:00;2018-09-06 00:00:00
532;1185;115;2018-08-22 00:00:00;2018-09-05 00:00:00
533;1187;198;2018-08-25 00:00:00;2018-08-27 00:00:00
534;1190;198;2018-09-12 00:00:00;2018-09-13 00:00:00
535;1194;198;2018-09-03 00:00:00;2018-09-04 00:00:00
536;1205;142;2018-08-26 00:00:00;2018-08-31 00:00:00
537;1209;198;2018-10-10 00:00:00;2018-10-18 00:00:00
538;1210;198;2018-10-08 00:00:00;2018-10-18 00:00:00
539;1219;197;2018-10-09 00:00:00;2018-10-11 00:00:00
540;1220;198;2018-09-21 00:00:00;2018-10-01 00:00:00
541;1221;198;2018-10-01 00:00:00;2018-10-02 00:00:00
542;1222;198;2018-09-28 00:00:00;2018-09-30 00:00:00
543;1222;198;2018-09-30 00:00:00;2018-10-02 00:00:00
544;1225;186;2018-09-06 00:00:00;2018-09-11 00:00:00
545;1229;198;2018-10-06 00:00:00;2018-10-07 00:00:00
546;1205;198;2018-09-15 00:00:00;2018-09-17 00:00:00
547;1205;198;2018-09-24 00:00:00;2018-09-25 00:00:00
548;423;198;2018-10-14 00:00:00;2018-10-15 00:00:00
549;1243;198;2018-11-23 00:00:00;2018-11-25 00:00:00
550;423;198;2018-10-20 00:00:00;2018-10-21 00:00:00
551;423;198;2018-10-31 00:00:00;2018-11-01 00:00:00
552;1205;126;2018-10-29 00:00:00;2018-11-06 00:00:00
553;1254;123;2019-04-13 00:00:00;2019-04-14 00:00:00
554;1192;198;2019-04-12 00:00:00;2019-04-17 00:00:00
555;1256;198;2019-05-13 00:00:00;2019-05-15 00:00:00
556;1213;186;2019-05-06 00:00:00;2019-05-07 00:00:00
558;172;198;2019-06-30 00:00:00;2019-07-02 00:00:00
559;1268;176;2019-06-12 00:00:00;2019-06-18 00:00:00
561;1264;115;2019-07-19 00:00:00;2019-07-20 00:00:00
562;1287;115;2019-10-13 00:00:00;2019-10-16 00:00:00
563;1146;198;2019-06-04 00:00:00;2019-06-06 00:00:00
564;1146;198;2019-07-02 00:00:00;2019-07-04 00:00:00
565;1262;198;2019-05-28 00:00:00;2019-05-29 00:00:00
566;1309;161;2019-06-16 00:00:00;2019-06-20 00:00:00
567;1308;198;2019-09-27 00:00:00;2019-09-28 00:00:00
568;1262;198;2019-05-29 00:00:00;2019-05-30 00:00:00
569;1261;115;2019-03-20 00:00:00;2019-03-21 00:00:00
570;1316;193;2019-06-18 00:00:00;2019-06-21 00:00:00
571;1317;115;2019-06-02 00:00:00;2019-06-03 00:00:00
572;1151;198;2019-04-12 00:00:00;2019-04-17 00:00:00
573;1151;198;2019-10-11 00:00:00;2019-10-16 00:00:00
574;1273;215;2019-03-16 00:00:00;2019-03-17 00:00:00
575;1328;198;2019-03-15 00:00:00;2019-03-18 00:00:00
576;1325;115;2019-04-21 00:00:00;2019-04-25 00:00:00
577;1269;115;2019-09-23 00:00:00;2019-09-25 00:00:00
578;1329;145;2019-06-24 00:00:00;2019-06-25 00:00:00
579;933;0;2019-06-25 00:00:00;2019-06-26 00:00:00
580;1335;0;2019-02-18 00:00:00;2019-02-19 00:00:00
581;1335;0;1000-01-01 00:00:00;1000-01-01 00:00:00
582;254;115;2019-05-10 00:00:00;2019-05-12 00:00:00
583;1330;191;2019-07-14 00:00:00;2019-07-15 00:00:00
584;96;186;2019-04-25 00:00:00;2019-04-30 00:00:00
585;1342;198;2019-06-24 00:00:00;2019-06-25 00:00:00
586;1343;198;2019-09-02 00:00:00;2019-09-03 00:00:00
587;423;0;2019-03-25 00:00:00;2019-03-26 00:00:00
588;423;0;1000-01-01 00:00:00;1000-01-01 00:00:00
589;423;0;1000-01-01 00:00:00;1000-01-01 00:00:00
590;423;198;2019-03-22 00:00:00;2019-03-26 00:00:00
591;504;115;2019-07-25 00:00:00;2019-07-26 00:00:00
592;579;198;2019-06-29 00:00:00;2019-07-01 00:00:00
593;596;198;2019-06-12 00:00:00;2019-06-13 00:00:00
594;1354;138;2019-04-30 00:00:00;2019-05-02 00:00:00
595;1355;198;2019-07-16 00:00:00;2019-07-23 00:00:00
596;811;198;2019-08-26 00:00:00;2019-08-28 00:00:00
597;1357;138;2019-05-22 00:00:00;2019-05-24 00:00:00
598;1358;197;2019-04-01 00:00:00;2019-04-02 00:00:00
599;1358;0;1000-01-01 00:00:00;1000-01-01 00:00:00
600;252;193;2019-05-17 00:00:00;2019-05-24 00:00:00
601;1359;115;2019-05-24 00:00:00;2019-05-28 00:00:00
602;1362;198;2019-06-14 00:00:00;2019-06-16 00:00:00
603;1367;191;2019-04-24 00:00:00;2019-04-25 00:00:00
